attempt_answer_id,user_id,quiz_id,question_id,quiz_attempt_id,given_answer,question_mark,achieved_mark,minus_mark,is_correct
241,566,9774,327,75,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
242,566,9774,326,75,"a:1:{i:0;s:4:"1225";}",1.00,0.00,0.00,0
243,566,9774,329,75,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
244,566,9774,330,75,"a:1:{i:0;s:4:"1241";}",1.00,0.00,0.00,0
245,566,9774,328,75,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
246,566,9774,327,75,"a:1:{i:0;s:4:"1226";}",1.00,1.00,0.00,1
247,566,9774,326,75,"a:1:{i:0;s:4:"1225";}",1.00,0.00,0.00,0
248,566,9774,329,75,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
249,566,9774,330,75,"a:1:{i:0;s:4:"1241";}",1.00,0.00,0.00,0
250,566,9774,328,75,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
251,588,9774,330,84,"a:1:{i:0;s:4:"1240";}",1.00,0.00,0.00,0
252,588,9774,326,84,"a:1:{i:0;s:4:"1224";}",1.00,1.00,0.00,1
253,588,9774,327,84,"a:1:{i:0;s:4:"1227";}",1.00,0.00,0.00,0
254,588,9774,328,84,"a:1:{i:0;s:4:"1230";}",1.00,0.00,0.00,0
255,588,9774,329,84,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
256,573,9774,326,77,"a:1:{i:0;s:4:"1225";}",1.00,0.00,0.00,0
257,573,9774,328,77,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
258,573,9774,330,77,"a:1:{i:0;s:4:"1240";}",1.00,0.00,0.00,0
259,573,9774,329,77,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
260,573,9774,327,77,"a:1:{i:0;s:4:"1227";}",1.00,0.00,0.00,0
261,572,9774,327,69,"a:1:{i:0;s:4:"1228";}",1.00,0.00,0.00,0
262,572,9774,328,69,"a:1:{i:0;s:4:"1231";}",1.00,1.00,0.00,1
263,572,9774,330,69,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
264,572,9774,329,69,"a:1:{i:0;s:4:"1237";}",1.00,1.00,0.00,1
